sale_id,sale_date,store_id,product_id,customer_id,quantity,discount_pct,revenue
1,2024-10-16,4,19,13,1,0.0,132.95
2,2023-10-09,8,22,115,1,0.0,297.41
3,2023-05-23,4,1,347,1,0.1,110.15
4,2024-07-12,3,21,303,3,0.2,372.34
5,2024-03-08,2,10,16,1,0.0,142.75
6,2023-04-06,7,13,120,1,0.0,191.56
7,2024-06-01,20,17,14,4,0.2,371.14
8,2024-07-28,7,7,367,1,0.0,150.73
9,2024-10-27,18,6,215,1,0.0,132.1
10,2023-08-14,15,11,302,1,0.0,11.04
11,2023-10-12,1,9,389,2,0.0,29.72
12,2023-06-13,14,5,175,4,0.1,121.25
13,2023-10-12,5,16,111,1,0.0,99.12
14,2023-12-13,4,23,184,1,0.0,202.43
15,2023-12-19,2,11,374,1,0.0,11.04
16,2024-04-15,18,15,64,3,0.15,158.64
17,2024-01-23,3,9,283,3,0.0,44.58
18,2023-10-28,20,11,454,2,0.0,22.08
19,2024-01-06,19,25,99,3,0.0,432.09
20,2024-12-22,8,18,396,2,0.0,433.46
21,2023-10-24,3,15,438,1,0.0,62.21
22,2023-08-27,4,18,195,1,0.0,216.73
23,2023-10-12,15,18,326,1,0.0,216.73
24,2024-01-09,6,7,190,1,0.0,150.73
25,2023-12-09,3,20,312,2,0.0,352.08
26,2024-10-12,6,24,274,2,0.2,312.58
27,2023-09-08,6,1,237,1,0.0,122.39
28,2024-01-24,9,7,474,1,0.0,150.73
29,2024-10-17,18,9,113,1,0.0,14.86
30,2024-12-25,2,22,118,1,0.0,297.41
31,2023-02-02,11,8,206,1,0.0,176.75
32,2023-10-02,3,22,109,1,0.0,297.41
33,2024-08-03,11,21,109,1,0.2,124.11
34,2024-11-02,15,7,74,1,0.0,150.73
35,2023-09-29,5,9,127,1,0.0,14.86
36,2024-07-28,18,10,135,1,0.0,142.75
37,2024-08-21,14,16,460,1,0.15,84.25
38,2024-08-20,13,12,186,2,0.0,153.0
39,2023-08-13,5,19,261,2,0.0,265.9
40,2024-05-20,3,7,387,1,0.0,150.73
41,2023-02-18,4,13,79,2,0.0,383.12
42,2024-10-04,6,17,406,2,0.0,231.96
43,2024-11-27,3,19,198,2,0.0,265.9
44,2024-01-26,20,13,240,2,0.2,306.5
45,2024-06-25,9,24,498,1,0.0,195.36
46,2024-07-20,1,9,349,2,0.0,29.72
47,2023-04-28,18,25,385,2,0.0,288.06
48,2023-10-01,11,19,58,2,0.0,265.9
49,2023-10-28,14,6,81,1,0.0,132.1
50,2024-04-09,1,10,489,1,0.0,142.75
51,2023-09-27,17,22,391,1,0.0,297.41
52,2023-07-02,17,11,468,2,0.2,17.66
53,2023-04-19,10,16,431,1,0.0,99.12
54,2024-10-16,17,14,312,1,0.0,49.79
55,2023-07-23,5,6,192,1,0.2,105.68
56,2023-06-15,18,20,489,1,0.0,176.04
57,2024-06-27,1,14,307,1,0.1,44.81
58,2023-11-28,4,3,476,2,0.0,169.04
59,2024-01-07,10,17,123,3,0.0,347.94
60,2023-03-01,8,6,450,1,0.0,132.1
61,2024-08-03,3,23,44,1,0.0,202.43
62,2024-05-12,3,9,390,1,0.1,13.37
63,2024-06-29,5,10,66,2,0.0,285.5
64,2024-11-06,18,20,85,1,0.0,176.04
65,2023-09-29,17,24,447,1,0.0,195.36
66,2024-09-13,14,17,494,1,0.0,115.98
67,2023-08-05,18,4,387,3,0.0,662.01
68,2024-12-10,13,1,344,1,0.0,122.39
69,2024-10-27,12,21,225,3,0.0,465.42
70,2024-06-13,15,1,62,1,0.0,122.39
71,2023-09-11,8,11,33,1,0.0,11.04
72,2023-12-18,8,9,302,1,0.0,14.86
73,2023-08-14,1,9,37,1,0.0,14.86
74,2024-12-25,8,24,35,1,0.0,195.36
75,2023-02-02,11,9,37,2,0.0,29.72
76,2024-06-10,8,13,143,1,0.0,191.56
77,2024-11-16,18,20,68,1,0.0,176.04
78,2024-08-07,19,13,243,1,0.0,191.56
79,2023-09-06,16,17,414,2,0.0,231.96
80,2024-02-21,7,15,49,1,0.0,62.21
81,2023-04-10,14,3,182,1,0.0,84.52
82,2024-03-09,14,14,240,1,0.0,49.79
83,2023-02-25,4,6,32,1,0.0,132.1
84,2024-02-17,11,21,410,1,0.1,139.63
85,2023-04-22,8,5,99,1,0.0,33.68
86,2023-07-14,18,11,230,1,0.0,11.04
87,2023-05-24,14,10,94,1,0.15,121.34
88,2023-10-13,15,17,128,1,0.0,115.98
89,2023-03-19,15,21,414,1,0.0,155.14
90,2024-07-17,4,4,26,1,0.0,220.67
91,2024-10-29,18,24,429,2,0.0,390.72
92,2023-01-16,3,4,475,1,0.0,220.67
93,2023-08-31,6,13,209,1,0.0,191.56
94,2024-05-12,16,23,110,1,0.0,202.43
95,2024-02-15,2,1,85,1,0.1,110.15
96,2024-01-24,1,21,200,1,0.0,155.14
97,2023-09-29,15,1,147,1,0.2,97.91
98,2024-03-09,18,20,339,1,0.0,176.04
99,2024-05-13,5,14,98,4,0.0,199.16
100,2023-10-31,7,8,496,1,0.0,176.75
101,2023-03-01,19,11,377,1,0.0,11.04
102,2024-07-09,2,11,383,2,0.0,22.08
103,2023-11-19,16,10,258,1,0.0,142.75
104,2024-06-27,6,16,30,2,0.15,168.5
105,2024-06-04,3,19,436,2,0.0,265.9
106,2023-07-10,3,3,305,1,0.0,84.52
107,2023-03-11,8,3,207,1,0.0,84.52
108,2023-05-03,19,25,127,1,0.0,144.03
109,2024-08-15,20,5,21,1,0.0,33.68
110,2024-09-26,3,6,215,1,0.0,132.1
111,2024-11-04,17,7,162,4,0.0,602.92
112,2023-09-25,7,7,343,2,0.0,301.46
113,2023-11-13,5,11,344,3,0.0,33.12
114,2024-10-22,10,10,235,1,0.0,142.75
115,2023-11-20,3,20,5,1,0.1,158.44
